CustomerID	Customer	Created	CreatedBy	LastModified	LastModifiedBy	Notes
24	Pyramid Foods 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
25	Homeland Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
26	Lund Food Holdings 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
27	Kings Food Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
28	Balls Food Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
29	Martin's Super Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
30	Sunflower Farmers Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
31	Sedano's 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
32	Fred W. Albrecht Grocery Co. 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
33	C&K Market 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
34	Dahl's Foods 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
35	Brown's Super Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
36	Harmons 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
37	Heinen's 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
38	Reasor's 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
39	Gelson's Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
40	Rosauers Supermarkets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
41	Mi Pueblo Food Centers 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
42	Perlmart 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
43	All American Quality Foods 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
44	Miner's 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
45	Ronetco 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
46	Stew Leonard's 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
47	Pro's Ranch Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
48	Tawa Supermarket 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
49	K.V. Mart 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
50	B&R Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
