Date	Description	Amount	Running Bal.
05/06/2011	"BKOFAMERICA ATM DEPOSIT 05-06 #005074 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"3500.00"	"3498.97"
05/09/2011	"SAFEWAY STORE00030312 05/06 CARD #3448 PURCHASE #24164071127221014331451 DALY CITY, CA"	"-52.64"	"3446.33"
05/09/2011	"PARK PLZ/FINE FOOD 05/08 CARD #3448 PURCHASE #24224431129103028481591 SAN FRANCISCO, CA"	"-26.14"	"3420.19"
05/10/2011	"LA SANTANECA 05/08 CARD #3448 PURCHASE #24492151129207543400835 SAN FRANCISCO, CA"	"-8.98"	"3411.21"
05/11/2011	"OLYMPIAN #219 05/09 CARD #3448 PURCHASE #24761971130259129021438 SO. SAN FRANC, CA"	"-10.45"	"3400.76"
05/11/2011	"7-ELEVEN 20643 05/09 CARD #3448 PURCHASE #24299101130011253130948 SAN FRANCISCO, CA"	"-10.17"	"3390.59"
05/13/2011	"BKOFAMERICA ATM WITHDRWL 05-13 #001230 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-100.00"	"3290.59"
05/16/2011	"CA TLR cash withdrawal from CHK 4065 Banking Ctr SERRAMONTE PLAZA #0000648 CA Confirmation# 1657172914"	"-1200.00"	"2090.59"
05/16/2011	"CA TLR cash withdrawal from CHK 4065 Banking Ctr SERRAMONTE PLAZA #0000648 CA Confirmation# 4957177874"	"-10.00"	"2080.59"
05/16/2011	"Check 1432"	"-1000.00"	"1080.59"
05/16/2011	"Check 99"	"-700.00"	"380.59"
05/16/2011	"FOODSCO #0357 05/13 CARD #3448 PURCHASE #24445001133300214250016 SAN FRANCISCO, CA"	"-69.90"	"310.69"
05/16/2011	"PETSMART INC 63 05-16 CUSTOMER 3448 PURCHASE #316809 DALY CITY CA"	"-41.50"	"269.19"
05/16/2011	"UNION 76 00372326 05/13 CARD #3448 PURCHASE #24164071133619589018985 SAN FRANCISCO, CA"	"-15.05"	"254.14"
05/16/2011	"PARK PLZ/FINE FOOD 05/14 CARD #3448 PURCHASE #24224431135103031734210 SAN FRANCISCO, CA"	"-14.00"	"240.14"
05/16/2011	"PARK PLZ/FINE FOOD 05/15 CARD #3448 PURCHASE #24224431136103026658787 SAN FRANCISCO, CA"	"-8.98"	"231.16"
05/17/2011	"BKOFAMERICA ATM DEPOSIT 05-17 #007546 CUSTOMER 3430 BANK OF AMERICA, SAN FRANCISCO, CA"	"280.00"	"511.16"
05/17/2011	"OCEAN AVENUE VETERINARY 05/16 CARD #3448 PURCHASE #24431051137207518400048 SAN FRANCISCO, CA"	"-165.39"	"345.77"
05/17/2011	"HULU 05/16 CARD #3448 PURCHASE #24492151137027990420486 877-801-5441, CA"	"-7.99"	"337.78"
05/18/2011	"BKOFAMERICA ATM WITHDRWL 05-18 #008000 CUSTOMER 3448 BANK OF AMERICA, DALY CITY, CA"	"-60.00"	"277.78"
05/18/2011	"MCDONALD'S F1782 05/16 CARD #3448 PURCHASE #24427331137710036595480 SAN FRANCISCO, CA"	"-9.61"	"268.17"
05/19/2011	"3080 San Jo ATM WITHDRWL 05-19 #000267459 CUSTOMER 3448 3080 San Jose Ave San Francisco CA"	"-62.95"	"205.22"
05/19/2011	"BKOFAMERICA ATM WITHDRWL 05-19 #008420 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-60.00"	"145.22"
05/19/2011	"76 / CIRCLE K # 5 05-19 CUSTOMER 3448 PURCHASE #647106 HERCULES CA"	"-40.55"	"104.67"
05/19/2011	"NEWYORK TOBACCO 05-19 CUSTOMER 3448 PURCHASE #386266 SAN FRANCISCO CA"	"-6.50"	"98.17"
05/19/2011	"NON-BANK CARD ATM FEE ON 05-19 #000267459 CUSTOMER 3448 AT TERMINAL 2334201V 3080 San Jose 3080 San Jose Ave San Francisco CA"	"-2.00"	"96.17"
05/23/2011	"UNION 76 10083087 05/20 CARD #3448 PURCHASE #24164071140619703043613 VALLEJO, CA"	"-20.00"	"76.17"
05/23/2011	"PAPA JOHN'S #3654 05/21 CARD #3448 PURCHASE #24341291142251624010196 4155867272, CA"	"-13.86"	"62.31"
05/23/2011	"HALL OF FLAME BURGERS 05/19 CARD #3448 PURCHASE #24323001140123258010213 SAN FRANCISCO, CA"	"-11.46"	"50.85"
05/23/2011	"PARK PLZ/FINE FOOD 05/21 CARD #3448 PURCHASE #24224431142103031555442 SAN FRANCISCO, CA"	"-7.00"	"43.85"
05/24/2011	"CHEVRON 00302550 05/22 CARD #3448 PURCHASE #24625121143411269137739 SAN FRANCISCO, CA"	"-14.29"	"29.56"
05/25/2011	"BURGER KING #4474 05/24 CARD #3448 PURCHASE #24186161144286699900179 SAN FRANCISCO, CA"	"-11.48"	"18.08"
05/25/2011	"COOL GUYS MARKET 05/24 CARD #3448 PURCHASE #24493981145207952300053 SAN FRANCISCO, CA"	"-7.00"	"11.08"
05/26/2011	"MCDONALD'S F1782 05/24 CARD #3448 PURCHASE #24427331145710038429332 SAN FRANCISCO, CA"	"-3.29"	"7.79"
06/09/2011	"CA TLR transfer Banking Ctr UNION SQUARE #0000260 CA Confirmation# 6264562364"	"1000.00"	"1007.79"
06/10/2011	"7-ELEVEN 06-10 CUSTOMER 3448 PURCHASE #332011 SAN FRANCISCO CA"	"-7.18"	"1000.61"
06/13/2011	"5741 THORNH ATM WITHDRWL 06-12 #000002223 CUSTOMER 3448 5741 THORNHILL DR OAKLAND CA"	"-102.95"	"897.66"
06/13/2011	"ATT*BILL PAYMENT 06/09 CARD #3448 PURCHASE #24692161161000807354749 800-288-2020, TX"	"-100.00"	"797.66"
06/13/2011	"CHEVRON 000917 06/13 CARD #3448 PURCHASE #07354940460311650107285 OAKLAND, CA"	"-30.02"	"767.64"
06/13/2011	"MONTCLAIR GAS & AUTO 06/11 CARD #3448 PURCHASE #24129421163100002230030 OAKLAND, CA"	"-20.00"	"747.64"
06/13/2011	"STARBUCKS CORP00052373 06/10 CARD #3448 PURCHASE #24164071161355923190579 SAN FRANCISCO, CA"	"-13.60"	"734.04"
06/13/2011	"NON-BANK CARD ATM FEE ON 06-12 #000002223 CUSTOMER 3448 AT TERMINAL SE270471 5741 THORNHILL 5741 THORNHILL DR OAKLAND CA"	"-2.00"	"732.04"
06/14/2011	"TACO LIBRE 06/12 CARD #3448 PURCHASE #24431051164206751800480 SAN FRANCISCO, CA"	"-11.84"	"720.20"
06/14/2011	"7-ELEVEN 14170 06/12 CARD #3448 PURCHASE #24299101164012948546703 OAKLAND, CA"	"-6.99"	"713.21"
06/15/2011	"29 GROVE ST ATM WITHDRWL 06-15 #000259423 CUSTOMER 3448 29 GROVE ST. SAN FRANCISCO CA"	"-42.50"	"670.71"
06/15/2011	"CAFE REINA 06/13 CARD #3448 PURCHASE #24223691165980030945423 SAN FRANCISCO, CA"	"-7.93"	"662.78"
06/15/2011	"NON-BANK CARD ATM FEE ON 06-15 #000259423 CUSTOMER 3448 AT TERMINAL TX19996 29 GROVE ST. 29 GROVE ST. SAN FRANCISCO CA"	"-2.00"	"660.78"
06/16/2011	"JAIL HOUSE LIQU/1 06-16 CUSTOMER 3448 PURCHASE #107450 S. SAN FRANCI CA"	"-7.48"	"653.30"
06/17/2011	"DEPOSIT"	"680.00"	"1333.30"
06/17/2011	"WALGREENS 3931 AL 06-17 CUSTOMER 3448 PURCHASE #061714 SAN FRANCISCO CA"	"-20.67"	"1312.63"
06/17/2011	"WALGREENS 3931 AL 06-17 CUSTOMER 3448 PURCHASE #063415 SAN FRANCISCO CA"	"-20.67"	"1291.96"
06/17/2011	"WALGREENS 3931 AL 06-17 CUSTOMER 3448 PURCHASE #517671 SAN FRANCISCO CA"	"-20.67"	"1271.29"
06/17/2011	"HALL OF FLAME BURGERS 06/16 CARD #3448 PURCHASE #24323001168123285010316 SAN FRANCISCO, CA"	"-20.21"	"1251.08"
06/17/2011	"HULU 06/16 CARD #3448 PURCHASE #24492151168027052122758 877-801-5441, CA"	"-7.99"	"1243.09"
06/17/2011	"STARBUCKS CORP00052373 06/16 CARD #3448 PURCHASE #24164071167355923113088 SAN FRANCISCO, CA"	"-6.50"	"1236.59"
06/17/2011	"SFDPT METERS 06/16 CARD #3448 PURCHASE #24492791167118000106425 415-7014591, CA"	"-6.00"	"1230.59"
06/17/2011	"WALGREENS 1630 OC 06-17 CUSTOMER 3448 PURCHASE #939314 SAN FRANCISCO CA"	"-5.47"	"1225.12"
06/17/2011	"SFDPT METERS 06/16 CARD #3448 PURCHASE #24492791167118000106029 415-7014591, CA"	"-3.50"	"1221.62"
06/17/2011	"SFDPT METERS 06/16 CARD #3448 PURCHASE #24492791167118000105047 415-7014591, CA"	"-3.00"	"1218.62"
06/20/2011	"SPIRIT AIRL 48700714966 06/17 CARD #3448 PURCHASE #24717051169581691817137 MIRAMAR, FL"	"-142.70"	"1075.92"
06/20/2011	"PARKMERCED ATM WITHDRWL 06-19 #000089264 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-123.00"	"952.92"
06/20/2011	"PARKMERCED ATM WITHDRWL 06-18 #000025473 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-103.00"	"849.92"
06/20/2011	"CHEVRON 002068 06/20 CARD #3448 PURCHASE #88112840460311712287926 BLOOMINGTON, UT"	"-30.09"	"819.83"
06/20/2011	"COA*AIRLINETAXES&FEES 06/18 CARD #3448 PURCHASE #24692161169000331735027 866-636-9088, NY"	"-25.00"	"794.83"
06/20/2011	"222 HYDE 06/16 CARD #3448 PURCHASE #24559301170400001570012 SAN FRANCISCO, CA"	"-15.00"	"779.83"
06/20/2011	"NEWYORK TOBACCO 06/17 CARD #3448 PURCHASE #24493981169207925500129 SAN FRANCISCO, CA"	"-12.00"	"767.83"
06/20/2011	"WENDYS #5780 Q25 Q25 06/17 CARD #3448 PURCHASE #24445001169100420530574 S SAN FRAN, CA"	"-7.64"	"760.19"
06/20/2011	"BURGER KING #4474 06/17 CARD #3448 PURCHASE #24186161169286699900930 SAN FRANCISCO, CA"	"-7.31"	"752.88"
06/20/2011	"BURGER KING #4474 06/17 CARD #3448 PURCHASE #24186161168286699901087 SAN FRANCISCO, CA"	"-6.12"	"746.76"
06/20/2011	"WENDYS #5780 Q25 Q25 06/16 CARD #3448 PURCHASE #24445001168100395526400 S SAN FRAN, CA"	"-5.86"	"740.90"
06/20/2011	"SFDPT METERS 06/17 CARD #3448 PURCHASE #24492791168118000105558 415-7014591, CA"	"-5.50"	"735.40"
06/20/2011	"S F M T A PARKING 06/17 CARD #3448 PURCHASE #24055231169200980104143 SAN DIEGO, CA"	"-4.75"	"730.65"
06/20/2011	"NON-BANK CARD ATM FEE ON 06-18 #000025473 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"728.65"
06/20/2011	"NON-BANK CARD ATM FEE ON 06-19 #000089252 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"726.65"
06/20/2011	"NON-BANK CARD ATM FEE ON 06-19 #000089264 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"724.65"
06/21/2011	"DEPOSIT"	"50.00"	"774.65"
06/21/2011	"Check 1433"	"-600.00"	"174.65"
06/21/2011	"Check 1434"	"-85.00"	"89.65"
06/23/2011	"TSP*16903055056 06/22 CARD #3448 PURCHASE #24692161173000200631384 800-219-4606, WA"	"-49.28"	"40.37"
06/23/2011	"SPIRIT AIRL 48700715978 06/22 CARD #3448 PURCHASE #24717051173581732226508 MIRAMAR, FL"	"-33.00"	"7.37"
06/24/2011	"NON-BANK CARD ATM FEE ON 06-24 #000405198 CUSTOMER 3448 AT TERMINAL 0006D CIVIC CENTER CIVIC CENTER SAN FRANCISCO CA"	"-2.00"	"5.37"
07/01/2011	"UNION 76 10096279 06/29 CARD #3448 PURCHASE #24164071181619368253408 SAN FRANCISCO, CA"	"-5.04"	"0.33"
07/05/2011	"BKOFAMERICA ATM DEPOSIT 07-04 #008582 CUSTOMER 3430 BANK OF AMERICA, NORTH ATTLEBO, MA"	"200.00"	"200.33"
07/05/2011	"UNION 76 10096279 07/04 CARD #3448 PURCHASE #24164071185619447803088 SAN FRANCISCO, CA"	"-35.38"	"164.95"
07/06/2011	"DEPOSIT"	"380.00"	"544.95"
07/06/2011	"BKOFAMERICA ATM DEPOSIT 07-06 #004307 CUSTOMER 3430 BANK OF AMERICA, SUMMIT, NJ"	"200.00"	"744.95"
07/06/2011	"VIRGIN AMER 98400000000 07/04 CARD #3448 PURCHASE #24717051186581861050682 BURLINGAME, CA"	"-139.70"	"605.25"
07/06/2011	"SFDPT METERS 07/05 CARD #3448 PURCHASE #24492791186118000102520 415-7014591, CA"	"-6.00"	"599.25"
07/06/2011	"SFDPT METERS 07/05 CARD #3448 PURCHASE #24492791186118000103684 415-7014591, CA"	"-2.25"	"597.00"
07/07/2011	"CAFE REINA 07/05 CARD #3448 PURCHASE #24223691187980030945450 SAN FRANCISCO, CA"	"-6.30"	"590.70"
07/08/2011	"Stellar Manageme DES:RENTAL ID:7127279 INDN:JasonSmith CO ID:1743151215 PPD REF:00026086406512110825001118800831469211070827"	"-540.85"	"49.85"
07/11/2011	"CA TLR transfer Banking Ctr ONE MARKET PLAZA #0000295 CA Confirmation# 8641961821"	"300.00"	"349.85"
07/11/2011	"77 CAMBON ATM WITHDRWL 07-09 #000734096 CUSTOMER 3448 77 CAMBON SAN FRANCISCO CA"	"-42.95"	"306.90"
07/11/2011	"SFDPT METERS 07/08 CARD #3448 PURCHASE #24492791189118000105850 415-7014591, CA"	"-4.25"	"302.65"
07/11/2011	"SFDPT METERS 07/09 CARD #3448 PURCHASE #24492791191118000105088 415-7014591, CA"	"-3.50"	"299.15"
07/11/2011	"NON-BANK CARD ATM FEE ON 07-09 #000734096 CUSTOMER 3448 AT TERMINAL A168275 77 CAMBON 77 CAMBON SAN FRANCISCO CA"	"-2.00"	"297.15"
07/12/2011	"PARKMERCED ATM WITHDRWL 07-12 #000610364 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-63.00"	"234.15"
07/12/2011	"2020 ROLLIN ATM WITHDRWL 07-12 #000007871 CUSTOMER 3448 2020 ROLLINGWOOD SAN BRUNO CA"	"-62.95"	"171.20"
07/12/2011	"ARCO PAYPOINT 07-12 CUSTOMER 3448 PURCHASE #112726 SAN FRANCISCO CA"	"-15.93"	"155.27"
07/12/2011	"NON-BANK CARD ATM FEE ON 07-12 #000007871 CUSTOMER 3448 AT TERMINAL SE270523 2020 ROLLINGWO 2020 ROLLINGWOOD SAN BRUNO CA"	"-2.00"	"153.27"
07/12/2011	"NON-BANK CARD ATM FEE ON 07-12 #000610364 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"151.27"
07/13/2011	"BURGER KING #4786 07/11 CARD #3448 PURCHASE #24186161193200399300598 DALY CITY, CA"	"-9.08"	"142.19"
07/13/2011	"PARK PLZ/FINE FOOD 07/12 CARD #3448 PURCHASE #24224431194103028250533 SAN FRANCISCO, CA"	"-7.00"	"135.19"
07/13/2011	"STARBUCKS CORP00052373 07/12 CARD #3448 PURCHASE #24164071193355932822651 SAN FRANCISCO, CA"	"-6.30"	"128.89"
07/13/2011	"SFDPT METERS 07/12 CARD #3448 PURCHASE #24492791193118000102588 415-7014591, CA"	"-6.00"	"122.89"
07/14/2011	"ELKS LODGE 07/12 CARD #3448 PURCHASE #24492791194118000115654 SAN FRANCISCO, CA"	"-35.00"	"87.89"
07/14/2011	"WENDYS #5780 Q25 Q25 07/12 CARD #3448 PURCHASE #24445001194100354398914 S SAN FRAN, CA"	"-6.99"	"80.90"
07/14/2011	"SFDPT METERS 07/13 CARD #3448 PURCHASE #24492791194118000105143 415-7014591, CA"	"-4.75"	"76.15"
07/15/2011	"BKOFAMERICA ATM DEPOSIT 07-15 #009665 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"1750.00"	"1826.15"
07/15/2011	"BKOFAMERICA ATM WITHDRWL 07-15 #009666 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-100.00"	"1726.15"
07/18/2011	"BKOFAMERICA ATM WITHDRWL 07-16 #008970 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-60.00"	"1666.15"
07/18/2011	"PARK PLZ/FINE FOOD 07/15 CARD #3448 PURCHASE #24224431197103032742910 SAN FRANCISCO, CA"	"-31.63"	"1634.52"
07/18/2011	"HULU 07/16 CARD #3448 PURCHASE #24492151198027111226396 877-801-5441, CA"	"-7.99"	"1626.53"
07/19/2011	"CA TLR transfer Banking Ctr ONE MARKET PLAZA #0000295 CA Confirmation# 2609751082"	"1000.00"	"2626.53"
07/19/2011	"OVERDRAFT ITEM FEE"	"-35.00"	"2591.53"
07/19/2011	"OVERDRAFT ITEM FEE"	"-35.00"	"2556.53"
07/20/2011	"Check 1436"	"-600.00"	"1956.53"
07/20/2011	"CURRY VILLAGE BAR-PIZZA 07/18 CARD #3448 PURCHASE #24492791200118000174760 YOSEMITE, CA"	"-87.01"	"1869.52"
07/25/2011	"PARKMERCED ATM WITHDRWL 07-23 #000308362 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-103.00"	"1766.52"
07/25/2011	"99 POST ST ATM WITHDRWL 07-24 #000582740 CUSTOMER 3448 99 POST ST SAN FRANCISCO CA"	"-103.00"	"1663.52"
07/25/2011	"PARKMERCED ATM WITHDRWL 07-25 #000349949 CUSTOMER 3448 PARKMERCED SAN FRANCISCO CA"	"-43.00"	"1620.52"
07/25/2011	"IHOP 623 07/22 CARD #3448 PURCHASE #24692161203000641308547 SAN FRANCISCO, CA"	"-34.35"	"1586.17"
07/25/2011	"SAM'S DINER 07/23 CARD #3448 PURCHASE #24071051205158157529799 SAN FRANCISCO, CA"	"-27.41"	"1558.76"
07/25/2011	"VESTA *AT&T 07/22 CARD #3448 PURCHASE #24692161203000657058051 866-608-3007, OR"	"-25.00"	"1533.76"
07/25/2011	"PARK PLZ/FINE FOOD 07/22 CARD #3448 PURCHASE #24224431204103032001276 SAN FRANCISCO, CA"	"-21.84"	"1511.92"
07/25/2011	"HALL OF FLAME BURGERS 07/22 CARD #3448 PURCHASE #24323001204123320010269 SAN FRANCISCO, CA"	"-9.63"	"1502.29"
07/25/2011	"TACO LIBRE 07/21 CARD #3448 PURCHASE #24431051203206751700295 SAN FRANCISCO, CA"	"-9.21"	"1493.08"
07/25/2011	"TACO LIBRE 07/23 CARD #3448 PURCHASE #24431051205206751900398 SAN FRANCISCO, CA"	"-9.21"	"1483.87"
07/25/2011	"UNION 76 10068450 07/22 CARD #3448 PURCHASE #24164071203619743237872 SAN FRANCISCO, CA"	"-7.04"	"1476.83"
07/25/2011	"PARK PLZ/FINE FOOD 07/23 CARD #3448 PURCHASE #24224431205103028210211 SAN FRANCISCO, CA"	"-7.00"	"1469.83"
07/25/2011	"DOLLAR KING 07/22 CARD #3448 PURCHASE #24071051205987175270337 SAN FRANCISCO, CA"	"-6.80"	"1463.03"
07/25/2011	"SUBWAY 00056697 07/22 CARD #3448 PURCHASE #24164071204255120320657 SAN FRANCISCO, CA"	"-5.78"	"1457.25"
07/25/2011	"CAFE REINA 07/23 CARD #3448 PURCHASE #24223691205980030945417 SAN FRANCISCO, CA"	"-4.50"	"1452.75"
07/25/2011	"STARBUCKS CORP00005314 07/22 CARD #3448 PURCHASE #24164071203355940586940 SAN FRANCISCO, CA"	"-4.25"	"1448.50"
07/25/2011	"NON-BANK CARD ATM FEE ON 07-25 #000349949 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"1446.50"
07/25/2011	"NON-BANK CARD ATM FEE ON 07-23 #000308362 CUSTOMER 3448 AT TERMINAL 2666A PARKMERCED PARKMERCED SAN FRANCISCO CA"	"-2.00"	"1444.50"
07/25/2011	"NON-BANK CARD ATM FEE ON 07-24 #000582740 CUSTOMER 3448 AT TERMINAL 00904072 99 POST ST 99 POST ST SAN FRANCISCO CA"	"-2.00"	"1442.50"
07/26/2011	"1200 LA PLA ATM WITHDRWL 07-26 #000446674 CUSTOMER 3448 1200 LA PLAYA SAN FRANCISCO CA"	"-122.50"	"1320.00"
07/26/2011	"HALL OF FLAME BURGERS 07/25 CARD #3448 PURCHASE #24323001207123323010321 SAN FRANCISCO, CA"	"-25.88"	"1294.12"
07/26/2011	"ATT*BILL PAYMENT 07/25 CARD #3448 PURCHASE #24692161206000275228158 800-288-2020, TX"	"-16.13"	"1277.99"
07/26/2011	"NON-BANK CARD ATM FEE ON 07-26 #000446674 CUSTOMER 3448 AT TERMINAL LK497263 1200 LA PLAYA 1200 LA PLAYA SAN FRANCISCO CA"	"-2.00"	"1275.99"
07/27/2011	"GOLDEN GATE PETROLEUM 07/25 CARD #3448 PURCHASE #24129421207100000882707 SO SAN FRANCI, CA"	"-20.01"	"1255.98"
07/28/2011	"BKOFAMERICA ATM WITHDRWL 07-27 #008531 CUSTOMER 3448 BANK OF AMERICA, SAN FRANCISCO, CA"	"-60.00"	"1195.98"
07/28/2011	"A1 LIQUOR GROCERY 07-28 CUSTOMER 3448 PURCHASE #135323 SAN FRANCISCO CA"	"-37.80"	"1158.18"
07/28/2011	"SHELL OIL 57444216105 07/26 CARD #3448 PURCHASE #24316051208548565026523 SAN FRANCISCO, CA"	"-13.07"	"1145.11"
07/28/2011	"KFC/TB #218 07/27 CARD #3448 PURCHASE #24431061209206093700055 SAN FRANCISCO, CA"	"-12.76"	"1132.35"
07/28/2011	"TSING TAO CHINESE REST 07/27 CARD #3448 PURCHASE #24493981209207315500442 SAN FRANCISCO, CA"	"-12.25"	"1120.10"
07/28/2011	"PACIFIC ENTERPRIS 07-28 CUSTOMER 3448 PURCHASE #200259 SAN FRANCISCO CA"	"-9.11"	"1110.99"
07/28/2011	"APL*APPLE ITUNES STORE 07/27 CARD #3448 PURCHASE #24692161208000714389411 866-712-7753, CA"	"-0.99"	"1110.00"
07/29/2011	"OCEAN AVENUE VETERINARY 07/28 CARD #3448 PURCHASE #24431051210207518500128 SAN FRANCISCO, CA"	"-106.45"	"1003.55"
07/29/2011	"7-ELEVEN 20450 07/27 CARD #3448 PURCHASE #24299101209015198688114 SAN FRANCISCO, CA"	"-25.22"	"978.33"
07/29/2011	"WALGREENS 1630 OC 07-29 CUSTOMER 3448 PURCHASE #050475 SAN FRANCISCO CA"	"-19.87"	"958.46"
07/29/2011	"ROYAL LIQUORS 07/27 CARD #3448 PURCHASE #24492151209200491000130 SAN FRANCISCO, CA"	"-13.90"	"944.56"
07/29/2011	"SENIORE`S PIZZA 07/28 CARD #3448 PURCHASE #24460081209980000585625 SAN FRANCISCO, CA"	"-10.17"	"934.39"
07/29/2011	"SFDPT METERS 07/28 CARD #3448 PURCHASE #24492791209118000102465 415-7014591, CA"	"-4.50"	"929.89"
07/29/2011	"PARK PLZ/FINE FOOD 07/28 CARD #3448 PURCHASE #24224431210103029172876 SAN FRANCISCO, CA"	"-2.52"	"927.37"
08/01/2011	"Check 1438"	"-500.00"	"427.37"
08/01/2011	"SF SPCA-SPAY AND NEUTE 07/29 CARD #3448 PURCHASE #24692161211000259647434 SAN FRANCISCO, CA"	"-90.00"	"337.37"
08/01/2011	"U-HAULPARK PLAZA FINE F 07/29 CARD #3448 PURCHASE #24445001211300230580243 SAN FRANCIS, CA"	"-82.81"	"254.56"
08/01/2011	"SHELL OIL 57444215909 07/29 CARD #3448 PURCHASE #24316051211548648044274 SAN FRANCISCO, CA"	"-22.22"	"232.34"
08/01/2011	"PARK PLZ/FINE FOOD 07/29 CARD #3448 PURCHASE #24224431211103032319331 SAN FRANCISCO, CA"	"-20.95"	"211.39"
08/01/2011	"1373 EXTRA SPACE STORA 07/29 CARD #3448 PURCHASE #24323001211253210010318 COLMA, CA"	"-19.00"	"192.39"
08/01/2011	"SENIORE`S PIZZA 07/29 CARD #3448 PURCHASE #24460081210980000585655 SAN FRANCISCO, CA"	"-15.67"	"176.72"
08/01/2011	"1373 EXTRA SPACE STORA 07/29 CARD #3448 PURCHASE #24323001211253210010284 650-994-4211, CA"	"-10.00"	"166.72"
08/01/2011	"SF SPCA-SPAY AND NEUTE 07/30 CARD #3448 PURCHASE #24692161211000259647467 SAN FRANCISCO, CA"	"-10.00"	"156.72"
08/01/2011	"JAVA BEACH CAFE 07/29 CARD #3448 PURCHASE #24707801212980146077114 SAN FRANCISCO, CA"	"-9.50"	"147.22"
