GLCode	Description	
634046	TELECOM 800 MHZ RADIO RECHARGE     	
634047	TELECOM BROADBAND RECHARGES        	
634048	TELECOM MONTHLY LINE RECHARGE      	
634050	MEDIA SVCS INSTALLATION RECHARGE   	
634100	TELEPHONE                          	
634101	TEL EQUIP-CENTREX HOSP             	
634102	TEL-CENTREX & ERICSSON-HOSP        	
634103	TEL EQUIP-ERICSSON-HOSP            	
634105	TEL INSTALL & ORDER CHARGES        	
634106	TEL-RADIO HOSP                     	
634107	TEL-MED CENTER NETWORK SUPP SVC    	
634108	TEL RECHARGE-TOLL-HOSP             	
634156	TELEPHONE MESSAGE UNITS            	
634175	HIGH SPEED DATA SVCS-SDSC          	
634200	TELEGRAPH                          	
634201	RADIO STATION WWD SVCS             	
634400	MAIL SVCS-MAIL ROOM DELIVERY SVCS  	
634410	METERED MAIL                       	
634415	UPS COSTS                          	
634500	ANIMAL TESTING SERVICES            	
634501	TESTING & DIAGNOSTIC SERVICES      	
634502	AUDIO VISUAL SERVICES              	
634503	INSTRUCTIONAL SERVICES             	
634504	PHOTOGRAPHIC SERVICES              	
634505	FIELD RESEARCH SERVICES            	
634506	SCIENTIFIC COLLECTION AND ANALYSIS 	
634507	TRANSPORTATION-LOCAL (NON-TRAVEL)  	
635000	SPACE RENTAL-INTERDEPT RECHARGES   	
635001	PRICE CTR FACILITY USE RECHARGE    	
635002	LA JOLLA DEL SOL RECHARGE          	
635003	MUIR MANDEVILLE SUITE RECHARGE     	
635004	INTL CENTER FACILITY USE RECHARGE  	
635005	AQUARIUM FACILITY USE RECHARGE     	
635006	IRPS FACILITY USE RECHARGE         	
635007	RIMAC FACILITY USE RECHARGE        	
635008	CMRR AUDITORIUM USE RECHARGE       	
635010	STOREHOUSE-SELF STORE FACILITY     	
635012	MUSIC CENTER STUDIOS RECHARGE      	
635020	ERC I-HOUSE RECHARGE               	
635050	MANDEVILLE CENTER RECHARGE         	
635100	RENTAL OF SPACE - MULTIPURPOSE USE 	
635101	GROUNDLEASE PAYMENTS               	
635102	RENTAL OF SPACE-PROJECT SPECIFIC   	
635150	OFF-SITE STORAGE                   	
635175	RENTAL/LEASE COSTS-BLDGS & TRAILERS	
635176	MPL ONR TOWER RENT TRANSFER        	
635199	RENTAL OF SPACE (NON-REPORTABLE)   	
635200	UTILITY SERVICES-GENERAL           	
635201	RECHARGES UTILITIES-ELECTRICITY    	
635202	APS SUBSYS ONLY UTIL METERS OFFSETC	
635203	RECHARGED UTILITIES-NATURAL GAS    	
635204	RECHARGED UTILITIES-VARIOUS        	
635210	UTILITIES-ELECTRICITY              	
635220	UTILITIES-WATER & SEWER            	
635225	UTILITIES-DEMINERALIZED WATER      	
635230	UTILITIES-NATURAL GAS              	
635250	UTILITIES-OIL                      	
635260	UTILITIES-PROPANE/BUTANE           	
635260	UTILITIES-PROPANE/BUTANE           	
635277	UTILITIES-ELECTRICITY              	
635278	UTILITIES-GAS                      	
635279	UTILITIES-WATER                    	
635280	UTILITIES-OTHER                    	
635281	UTILITIES-STEAM                    	
635300	RENTAL OF EQUIPMENT                	
635301	LEASE W/OPTION TO BUY EQUIP        	
635302	RENTAL OF EQUIPMENT-PROJECT SPECIFI	
635310	LEASE W/PURCHASE OPTION            	
635320	NON-CANCELLABLE LEASES-OTHER       	
635350	DEMURRAGE/CYLINDER RENTAL          	
635351	WATER COOLER RENTAL                	
635355	MARINE CHARTER-FIELD RESEARCH      	
635356	MARINE CHARTER-FLD RSRCH-PROJECT SP	
635376	RENTAL/LEASE COSTS-EQUIP           	
635380	RENTAL OF SUPPLIES                 	
635381	RENTAL OF SUPPLIES-PROJECT SPECIFIC	
635399	RENTAL OF EQUIP-NON-REPORTABLE     	
635400	RENTAL OF EQUIP-COMPUTER EQUIPMENT 	
635401	RENTAL EQUIP-COMPUTER EQ-PROJECT SP	
635410	LEASE W/PURCH OPTION-COMPUTER EQUIP	
635420	NON-CANCELLABLE LEASES-COMP EQUIP  	
635430	INSTALLMENT CONTRACTS-NON CAPITAL  	
635500	STOREHOUSE EQUIPMENT RENTAL        	
635600	RENTAL-CAPITAL LEASES              	
635610	INSTALLMENT CONTRACT PAYMENT       	
635610	INSTALLMENT CONTRACT PAYMENT       	
635700	RENT-CAPITAL LEASES-COMPUTER EQUIP 	
635710	INSTALLMENT CONTRACT PAYMENT - COMP	
636000	PRINTING SERVICES                  	
636001	PUBLICATIONS INCOME OFFSET         	
636005	AQUARIUM PUBLICATIONS RECHARGE     	
636006	STS PUBLICATIONS RECHARGES         	
636049	IMPRINTS RECHARGE-FED USER REBATE  	
636049	IMPRINTS RECHARGE-FED USER REBATE  	
636050	IMPRINTS RECHARGE-COPIER SERVICE   	
636051	IMPRINTS RECHARGE-GEISEL CENTER    	
636052	IMPRINTS RECHARGE-MUIR CENTER      	
636053	IMPRINTS RECHARGE-CSC CENTER       	
636054	IMPRINTS RECHARGE PRICE COPY CENTER	
636055	HUMAN RES-TEMPORARY EMPLOYMENT SVCS	
636056	GRAPHICS-MICROGRAPHICS SVC         	
636057	BURSAR'S-ID CARD RECHARGE          	
636058	GRAPHICS SERVICES PURCHASED        	
636059	GRAPHICS-TYPESETTING SERVICE       	
636060	IMPRINTS RECHARGE-UNIVERSITY CENTER	
636061	UNIV COMM-PREPRESS SVCS RECHARGE   	
636062	IMPRINTS RCHG-PRINTER &  CARTRIDGE 	
636063	LIBRARY & NEWS SERVICE             	
636064	LIBRARY PHOTO SERVICES             	
636065	BOOKSTORE COPIER SERVICES RECHARGE 	
636066	PURCHASED COPY SERVICES            	
636067	THE PULSE COPY CTR RECHARGE        	
636068	ESPP PROMOTIONS COST DISTRIBUTION  	
636069	IMPRINTS RECHARGE-LIB PHOTOCOPY SVC	
636070	MED CTR COPIER SVC                 	
636072	ESPP PRINT COST DIST               	
636100	PRINTING OF FORMS                  	
636156	FORMS                              	
636200	BOOKS & MAPS                       	
636202	BOOKSTORE RECHARGE-BOOKS           	
636203	US MEX STUDIES PUBL RECHARGE       	
636300	SERIALS                            	
636301	SUBSCRIPTION-PROFESSIONAL/TECHNICAL	
636305	DIGITAL ACCESS-LIBRARY             	
636309	LIBRARY-INTERLIBRARY LOAN PROGRAM  	
636310	LIBRARY BOOK BINDING               	
636400	REPRINTS                           	
636500	PROJECT SPECIFIC SUPPLIES-OFFICE   	
636501	PROJECT SPECIFIC SUPPLIES-CUSTODIAL	
636502	CONSTRUCTION MATERIALS             	
636503	WORKSHOP SUPPLIES & MATERIALS      	
636504	DECORATING & PAINTING SUPPLIES     	
636505	GROUNDS MAINTENANCE SUPPLIES       	
636506	"SAFETY, FIRE & ENVIRONMENTAL SUPPLY"	
636507	"TOOLS-MINOR $200-$1,499            "	
636508	"MINOR EQUIP-COMPUTING $200-$1,499  "	
636509	PRINTING SUPPLIES                  	
636510	AUDIO VISUAL SUPPLIES              	
636511	INSTRUCTIONAL SUPPLIES & MATERIALS 	
636512	SPORTS SUPPLIES                    	
636513	FOOD PREPARATION SUPPLIES          	
636514	COLLECTIONS-SCIENTIFIC             	
636515	FIELD RESEARCH SUPPLIES            	
636516	DIVING SUPPLIES                    	
636517	MARINE SUPPLIES                    	
636518	MARINE ELECTRONICS                 	
636519	MARINE CHARTS & PUBLICATIONS       	
636520	BOAT MAINTENANCE SUPPLIES          	
636521	SECURITY SUPPLIES (<$200)          	
636522	TOOLS <$200                        	
637100	"REPAIRS, ALTERATIONS, MAINTENANCE  "	
637101	"REPAIRS, ALTRNS, MAINT-PROJECT SPEC"	
637102	SUBCONTRACTOR COSTSIN EXCESS OF 25K	
637102	SUBCONTRACTOR COSTS BELOW 25 K     	
637105	"EXPR ORDER-REPAIR,ALTERATIONS,MAINT"	
637108	REPR/REPL PART RAD EQUIP-PROJECT SP	
637110	PPS MISC RECHARGES                 	
637114	BOOKSTORE RECHARGE-COMPUTER REPAIR 	
637120	BUILDING MAINTENANCE-FAC MGMT RECHG	
637121	"FACILITIES, DESIGN & CONSTR RCHG   "	
637122	BLD MAINT-FAC MGMT RECHG/PROJECT SP	
637124	"FAC, DESIGN CONSTR RCHG-PROJECT SPE"	
637125	RPR & MAINT TECH SVCS              	
637126	RPR & MAINT TECH SVCS-PROJECT SPECI	
637130	MEDIA SVCS EQUIP REPAIR/MAINT RCHRG	
637140	PURCHASED MAINT AGREEMENT-EQUIPMENT	
637141	PURCHASED MAINT AGREEMENT-COMPUTER 	
637149	PURCHASE CUSTODIAL SRVS-PROJECT SPE	
637150	PURCHASED MAINTENANCE BUILDING     	
637151	PURCHASED MAINTENANCE EQUIPMENT    	
637152	PURCH REPRS-RAD EQUIP              	
637153	PURCHASED CUSTODIAL SERVICES       	
637154	PURCHASED GROUNDS MAINTENANCE      	
637155	DECORATING & PAINTING SERVICES     	
637156	PURCHASED TRASH & WASTE REMOVAL    	
637157	PURCHASED MAINTENANCE-VEHICLES     	
637158	CARPETS AND FLOORING               	
637159	BUILDING ALTERATIONS/IMPROVE <$35K 	
637160	CARPETS AND FLOORING-PROJECT SPECIF	
637161	SDSC COMPUTER HARDWARE MAINT >$100K	
637162	REPAIRS & MAINT-BUILDINGS & GROUNDS	
637163	EQUIPMENT REPAIRS & MAINTENANCE    	
637164	ALTERATIONS-BUILDINGS              	
637165	PURCHASED MAINTENANCE-COMP EQUIP   	
637166	PURCHASED MAINTENANCE-ERICSSON     	
637167	PURCHASED MAINT-COPIER MACHINES    	
637168	JOB ORDERS-ELECTRICAL              	
637169	JOB ORDERS-ELECTRONIC              	
637170	JOB ORDERS-GENERAL                 	
637171	PURCHASED GROUNDS MAINT-PROJECT SPE	
637187	SHIPYARD REPAIR                    	
637188	UNSCHEDULED SHIP REPAIR            	
637190	MARFAC-FED SHIP REPLACEMENT PARTS  	
637201	HOSPITAL EQUIP RPR-LABOR RECHARGE  	
637202	HOSP EQUIP RPR-EMPL BEN RCHG       	
637203	HOSP EQUIP RPR-SUPPLIES RCHG       	
637204	HOSP EQUIP RPR-PURCH SVCS RCHG     	
637205	SHIPS/PLATFORM USE RECHARGE        	
637206	LECTURES                           	
637207	CONSULTANTS&INDEPENDENT CONTRACTORS	
637208	PURCHASING RECHARGES               	
637209	MPL SUPPORT S & E RECHARGE         	
637210	STERILE PROC-SUPPLIES              	
637211	HOSP CLIN LAB & X-RAY SERV         	
637212	ABS/SURVEYORS                      	
637213	AUDIOVISUAL SERVICES-HOSPITAL      	
637214	ODF SUPPORT S & E                  	
637215	ESCORT SERVICES                    	
637216	MEDICAL RECORDS SERVICES           	
637217	PARKING RECHARGE                   	
637218	BIO MAINT & REPAIR LABOR RECHARGE  	
637219	RECHARGES FROM OTHER HOSP DEPTS    	
637220	DUES/MEMBERSHIP-PROFESSIONAL & TECH	
637221	RAD REPAIR SERVICE                 	
637222	ORD SUPPORT LABOR COSTS            	
637223	OLR EQUIPMENT LOAN                 	
637224	PACODF SUPPORT LABOR               	
637225	HOUSING-LABOR DISTRIBUTION         	
637226	ADMIN SERVICES/PHYSICIANS          	
637227	MAR PHYS LAB SUPPORT LABOR         	
637228	VISIBILITY LAB SUPPORT LABOR       	
637229	MARINE RESEARCH DIV SUPPORT LABOR  	
637230	MAR LIFE RES GROUP SUPPORT LABOR   	
637231	MARINE SCIENCES DEV & OTFT SERV    	
637231	MARINE SCIENCES DEV & OTFT SERV    	
637232	UC MACHINE SHOP SERVICES           	
637233	MED SCHOOL MACHINE SHOP SERVICES   	
637234	PORT CLEARANCES/OFFICIALS          	
637235	CAL SPACE SUPPORT LABOR COSTS      	
637236	STUDENT CORPS SERVICES             	
637237	CASS SUPPORT GROUP LABOR           	
637238	CRANE/FORK LIFT                    	
637239	AGENCY FEE/COMMISSION              	
637240	TUGS/PILOT                         	
637241	WATCHMEN                           	
637242	LAUNCH HIRE                        	
637243	GRAPHICS-COPIER SVCS               	
637244	LIBRARY PHOTO SERVICES             	
637245	GRAPHIC REPRODUCTION SVCS REFUND   	
637246	CASS DRAFTING SUPPORT              	
637247	ACCOUNTING BASIC SVCS RECHARGE     	
637248	ACCOUNTING SPECIAL SVCS RECHARGE   	
637249	P.E.-MAINTENANCE                   	
637250	MEALS-BUSINESS EVENTS              	
637251	FILM RENTAL                        	
637252	PURCHASED DEPARTMENT FUNCTIONS     	
637253	SIO-INSTRUMENT DEVELOPMENT GROUP   	
637254	CTR COASTAL STUDIES SUPPORT LABOR  	
637255	MEETINGS-TECHNICAL EVENTS          	
637256	IGPP SUPPORT SERVICES              	
637257	SIO-ANALYTICAL FACILITY CHARGES    	
637258	CAMPUS ADMINISTRATIVE RECHARGES    	
637259	ADVERTISING-EVENTS & PROMOTIONAL   	
637260	LABORATORY SERVICES                	
637261	PURCHASED SERVICES MEDICAL         	
637262	VIVARIUM SERVICES                  	
637263	SYSTEMWIDE ADMINISTRATIVE RECHGS   	
637264	MANAGEMENT SERVICES                	
637265	COLLECTION & CREDIT REPORTING AGNCS	
637266	 MED CTR OTHER PURCHASED SERVICES  	
637267	PURCHASED SERVICES-TEMP HELP       	
637268	CONTRACT MANAGEMENT FEES           	
637269	MANAGEMENT CONSULT FEES            	
637270	DRUG PACKAGING SERVICES            	
637271	AMORTIZATION-START UP COSTS        	
637272	DEPR & AMORT. BLDG & IMPROVEMTNT   	
637273	DEPR & AMORT. LEASEHOLD IMPROVE    	
637274	DEPR & AMORT. EQUIPMENT            	
637275	MEDIA SERVICES RECHARGE            	
637276	CAMPUS POLICE                      	
637277	FINANCIAL AID-ODD YEAR             	
637278	FINANCIAL AID-EVEN YEAR            	
637279	HUMAN SUBJECTS                     	
637280	PATIENT CARE                       	
637281	PROFESSIONAL LIABILITY INS         	
637282	INSURANCE-OTHER                    	
637283	LICENSES & TAXES                   	
637284	INVENTORY ADJUSTMENTS              	
637285	STIP REFUNDS                       	
637286	DUES & SUBSCRIPTIONS               	
637287	OUTSIDE TRAINING                   	
637288	PRINCIPAL PAYMENTS                 	
637289	HOSP-WC LOAN & STIP FINANCING COST 	
637290	TELECOMM-ETS-INTEREST EXP          	
637291	SUB-CONTR-EXTRAMURAL FUNDS(MODS)   	
637292	INSURANCES-HOSPITAL LEASED EQUIP   	
637293	UNEX ADMINISTRATIVE OVERHEAD       	
637294	EXTENSION CATALOG EXPENSE          	
637295	SHIPS-FLIP/ORB SPECIAL SERVICES    	
637296	SUB-CONTR-EXTRAMURAL FUNDS         	
637297	PROJECT SPECIFIC                   	
637298	UNEX-EVEN YR-PREPAID SAL EXP       	
637299	A & PS PROFESSIONAL DEV AWARDS     	
637300	UNEX-ODD YR-PREPAID SAL EXP        	
637301	EXPRESS ORDER-TEMP SERVICES        	
637302	UNEX RECHARGE-CLASS FEE            	
637303	UCSD FDN EQUIPMENT RIGHTS          	
637304	SUMM SESS RECHARGE-APPLICATION FEE 	
637305	BIOMED ENG CONFOCAL MICROSCOPY RCHG	
637306	AQM EDUCATIONAL PROGRAM RECHARGE   	
637307	BIO ELEC MICROSCOPE FAC RECHARGE   	
637308	BIO PROTEIN SEQUENCER FAC RECHARGE 	
637309	BIO ANIMAL FAC RECHARGE            	
637310	OLR-CAMPUS PHOTO SERVICES          	
637311	OLR-SIO PHOTO SERVICES             	
637312	OLR-HOSPITAL PHOTO SERVICES        	
637313	OLR-ELECTRONIC SERVICES            	
637314	OLR-ILLUSTRATION SERVICES          	
637315	OLR-PROGRAMMING SERVICES           	
637316	SOM VIDEO PRODUCTIONS              	
637317	OLR-AUDIO VISUAL SERVICES          	
637318	OLR-TEST ANALYSIS SERVICES         	
637319	OLR-ANATOMICAL PREP SERVICES       	
637320	OLR-EQUIP LOAN SERVICES            	
637321	OLR-MISCELLANEOUS SERVICES         	
637322	SIO NIERENBERG HALL ADMIN SUPP RCHG	
637323	OLR INSTRUCTIONAL DEVELOP RECHARGE 	
637324	SOM BIOGEM FACILITY RECHARGE       	
637325	OLR-MED SCHOOL MACHINE SHOP SVCS   	
637326	USE OF FLIP                        	
637327	ACT MISC RECHARGE SERVICES         	
637328	ACT-LABOR DISTRIBUTION-SALARIES    	
637329	ACT-LABOR DISTRIBUTION-BENEFITS    	
637330	DEPARTMENT COST DISTRIBUTION RECHG 	
637331	CHEMISTRY-NMR FACILITY             	
637332	CHEMISTRY-ELECTRONICS SHOP         	
637333	CHEMISTRY-DRAFTING                 	
637334	CHEMISTRY-FABRICATION FACILITY     	
637335	CHEMISTRY-XRAY FACILITY            	
637336	CHEMISTRY-MASS SPECTROMETER        	
637337	MATH DIAGNOSTIC TESTING RECHG FAC  	
637338	CHEMISTRY-MAGNETIC RES SPECTOMETER 	
637339	CHEM/BIOCHEM CORE FAC RECHG-PROTEIN	
637340	SIO PHOTO LAB SERVICES             	
637341	SIO VIDEO LAB SERVICES             	
637342	JSOE RESEARCH SUPPORT SHOP         	
637343	PHYSICS ELEC FACILITY TECH RECHARGE	
637344	ENG FUSION EXPERIMENT FAC RECHARGE 	
637345	MPL MACH SHOP LABOR RECHG          	
637346	MPL MACH SHOP MAT'L RECHG          	
637347	PRL SUPPORT LABOR RECHG            	
637348	MBRD SUPPORT LABOR RECHG           	
637349	IGPP SUPPORT LABOR RECHG           	
