Business	Category	SubCategory	AKA	Contact	Address	City	ST	ZIP	Phone	FAX	License	Ethnicity	Email
BAKER VILAR ARCHITECTS	ARCHITECTURAL SERVICES             		BV ARCHITECTS	Jose  Vilar	"461 Second Street, Loft 127"	San Francisco	CA	94107	(415) 546-7101	(415) 896-6103	C 13377        	LAT	jvilar@bakervilar.com
BARCELON & JANG ARCHITECTS	ARCHITECTURAL SERVICES             		                                   	Darlene S. Jang	"315 Bay Street, 3rd Floor"	San Francisco                 	CA	94133	(415) 834-0248	(415) 834-0249	C 14143        	A/P	djang@barcelonjang.com
BAY ARCHITECTS ASSOCIATES INC      	ARCHITECTURAL SERVICES             		                                   	Thomas F  Lee	"1550 Pacific Avenue, 2nd Fl.  "	San Francisco                 	CA	94109-2627	(415) 474-3111	(415) 474-3225	C 7961         	A/P	tom@bayarchitects.net
BEST DESIGN & CONSTRUCTION COMPANY 	ARCHITECTURAL SERVICES             		                                   	Judy Yuen  Ng	"100 Old County Road, Suite 100C"	Brisbane	CA	94005	(415) 452-8676	(415) 452-3476	488693	A/P	best_design@msn.com
BLOCK ENERGY DESIGN	ARCHITECTURAL SERVICES             		                                   	Sharon  Block	"150 Felker Street, Suite H"	Santa Cruz                    	CA	95060	(831) 454-9956	(831) 454-0598	0	A/P	sharon@blockenergygreen.com
CEE ARCHITECTS                     	ARCHITECTURAL SERVICES             		                                   	Jane S. Cee	"500 3rd Street, Penthouse     "	San Francisco                 	CA	94107	(415) 882-7261	(415) 882-7269	C-25218        	LAT	janecee@ceearchitects.com
CERVANTES DESIGN ASSOC.	ARCHITECTURAL SERVICES             		                                   	Anne M. Cervantes	89 Coleridge Street           	San Francisco                 	CA	94110	(415) 695-1751	(415) 695-1986	C 18037        	LAT	cdastudios89@aol.com
CHIANG ARCHITECTURAL CORPORATION	ARCHITECTURAL SERVICES             			Albert  Chiang	2342 - 21st Avenue	San Francisco	CA	94116	(415) 244-1420	(415) 661-2800	C30026	A/P	jchiang@CACbio.com
"CHIANG, ROBIN                      "	ARCHITECTURAL SERVICES             		                                   	Robin  Chiang	381 Tehama Street             	San Francisco                 	CA	94103	(415) 995-9870	(415) 995-9876	C10152	A/P	rchiang@designbythebay.com
DALE TURNER ARCHITECT	ARCHITECTURAL SERVICES             		                                   	Dale Linden Turner	3603-A Chestnut Street        	Lafayette                     	CA	94549	(925) 299-0713	(925) 299-0714	C14228	FIL	dt@daleturnerarchitect.com
DESIGN STUDIOS GONZALO CASTRO      	ARCHITECTURAL SERVICES             		                                   	Gonzalo  Castro	"4479 17th Street, #4          "	San Francisco                 	CA	94114	(415) 255-1239	(415) 255-1231	C25930         	LAT	dsgcastro@gmail.com
FILLON SOLIS ARCHITECTS INC.	ARCHITECTURAL SERVICES             			Alfonso K. Fillon	401 Terry A Francois Blvd #208	San Francisco                 	CA	94158	(415) 541-0288	(415) 541-0188	28828	LAT	fillondesign@sbcglobal.net
"FINGER, MOY & GUADAGNE"	ARCHITECTURAL SERVICES             		F M G ARCHITECTS	Stanley Yip  Moy	330 15th Street	Oakland	CA	94612	(415) 956-5211	(415) 956-5060	C27982	A/P	rfinger@fmgarchitects.com
GARCIA/MYODO ARCHITECTURE DESIGN   	ARCHITECTURAL SERVICES             		                                   	Jorge  Garcia	2219 Roosevelt Avenue         	Berkeley                      	CA	94703-1721	(510) 549-2413	(510) 549-2522	C 11283        	LAT	garciamyodo@sbcglobal.net
"GARY S. GEE, AIA"	ARCHITECTURAL SERVICES             		"GARY GEE ARCHITECTS, INC."	Gary S. Gee	"98 Brady Street, #8           "	San Francisco                 	CA	94103-1239	(415) 863-8881	(415) 863-8879	C 14060        	A/P	ggeeaia@aol.com
"GEE & ASSOCIATES, EDWARD JIN       "	ARCHITECTURAL SERVICES             		                                   	Edward Jin Gee	"315 Bay Street, 4/F           "	San Francisco                 	CA	94133-1923	(415) 788-5959	(415) 788-0568	C 6586         	A/P	ejga@ejga-sf.com
JOHN LUM ARCHITECTURE	ARCHITECTURAL SERVICES             			John  Lum	3246 17th Street	San Francisco	CA	94110	(415) 558-9550	(415) 558-0554	C 21837	A/P	john@johnlumarchitecture.com
JOSEPH CHOW & ASSOCIATES	ARCHITECTURAL SERVICES             		"JOSEPH CHOW & ASSOCIATES, INC."	Joyce  Chow	"650 Delancey Street, Suite 211"	San Francisco                 	CA	94107	(415) 777-1288	(415) 777-2552	C 26549	A/P	jchow@jcaarchitects.com
LAWRENCE KO LEONG	ARCHITECTURAL SERVICES             		                                   	Lawrence Ko Leong	800 - 27th  Avenue	San Francisco                 	CA	94121	(415) 387-6528	(415) 480-2022	C 10652        	A/P	lkldraw@pacbell.net
"LTC DESIGN GROUP, INC."	ARCHITECTURAL SERVICES             			Ben  Wong	"100 Bush Street, Suite 410"	San Francisco	CA	94104	(415) 348-8989	(415) 348-8780	0		ben@ltcdesigngroup.com
"MICHIO YAMAGUCHI, ARCHITECT"	ARCHITECTURAL SERVICES             			Contact  Person	375 30th Avenue	San Francisco                 	CA	94121	(415) 346-6130	(415) 346-6126	C 7112         	A/P	michioy@pacbell.net
MOCK/WALLACE ARCHITECTS            	ARCHITECTURAL SERVICES             		                                   	Lawrence Lun  Mock	1108 Bryant Street            	San Francisco                 	CA	94103-4305	(415) 626-6868	(415) 626-6982	C 7672         	A/P	mwadmin@mockwallace.com
OKAMOTO SAIJO ARCHITECTURE	ARCHITECTURAL SERVICES             			Paul C. Okamoto	18 Bartol Street              	San Francisco                 	CA	94133	(415) 788-2118	(415) 986-2815	C 22916	A/P	paul@os-architecture.com
POWELL & PARTNERS ARCHITECTS	ARCHITECTURAL SERVICES             			Karina  Powell	"807 Broadway, Suite 200"	Oakland	CA	94607	(510) 663-3800	(510) 663-3807	C14497	BLK	fpowell@powellarchs.com
SALAZAR ARCHITECTS STUDIO INC	ARCHITECTURAL SERVICES             			Alex P. Salazar	"275 Fifth Street, Suite 310"	San Francisco	CA	94103	(415) 348-6304	(415) 541-8590	C 31322	LAT	asalazar@salazarch.com
SIM ARCHITECTS	ARCHITECTURAL SERVICES             		"SIM, EUGENE                        "	Eugene  Sim	111 Sutter Street Ste 100	San Francisco                 	CA	94104	(415) 362-8081	(415) 362-8082	C26432         	A/P	info@simarchitectsinc.com
"SOGA & ASSOCIATES ARCHITECTS, INC"	ARCHITECTURAL SERVICES             		                                   	Clement T. Soga	"657 Mission Street, Suite 504"	San Francisco	CA	94116	(415) 896-0955	(415) 896-0957	0	CAU	sdavis@saarchitects.com
STEVENS +  ASSOCIATES	ARCHITECTURAL SERVICES             		STEVENS & ASSOCIATES	Myles  Stevens	"855 Sansome Street, Suite 200"	San Francisco                 	CA	94111	(415) 397-6500	(415) 397-6525	C 9455         	BLK	mstevens@stevens-arch.com
T S H INTERNATIONAL ARCHITECTURE	ARCHITECTURAL SERVICES             			Niles S. Tanakatsubo	"25 Edwards Court, Suite 208"	Burlingame	CA	94010	(650) 373-0128	(650) 373-0127	C10698	A/P	ntshogun@tshinternational.com
TECTONICS                          	ARCHITECTURAL SERVICES             		                                   	Andrew C. Chen	"833 Market Street, Suite 502"	San Francisco                 	CA	94103	(415) 543-2133	(415) 543-4303	0	A/P	achen@tectonics-ae.com
TSANG ARCHITECTURE	ARCHITECTURAL SERVICES             		                                   	Ignatius  Tsang	963 North Point Street	San Francisco                 	CA	94109	(415) 931-1239	(415) 931-7239	C-13096        	A/P	info@tsangarchitecture.com
WING LEE ARCHITECTS	ARCHITECTURAL SERVICES             			Wing  Lee	1403 Hudson Avenue	San Francisco	CA	94124	(415) 297-6493		C28929	A/P	wing@leearchitect.com
"WONG AIA, ROBERT B                 "	ARCHITECTURAL SERVICES             		                                   	Robert B Wong	"1137 Bush Street, Suite One   "	San Francisco                 	CA	94109	(415) 474-2967		C 2079         	A/P	
"YOUNG ASSOCIATES, KENDALL          "	ARCHITECTURAL SERVICES             		                                   	Kendall  Young	"720 York Street, Suite 104"	San Francisco                 	CA	94110	(415) 552-1118	(0  )    -    	0	A/P	kya@kyaarch.com
"HUEY CONSTRUCTION MANAGEMENT CO., INC."	ASBESTOS REMOVAL CERTIF (ASB)      		dba M H CONSTRUCTION MANAGEMENT CO.	Matthew  Huey	1630 17th Street	San Francisco                 	CA	94107	(415) 588-9778	(415) 558-9612	B 575228       	A/P	hueymhc@yahoo.com
"CHAN, DOI, & LEAL LLP"	ATTORNEYS                          	LAWYERS                       	                                   	Garrett L. Wong	595 Market St Suite 1100	San Francisco                 	CA	94105	(415) 281-8988	(415) 281-8989	916836	A/P	dchan@chandoilaw
CURLS BARTLING P C	ATTORNEYS                          	LAWYERS                       		Ericka Minyon Curls-Bartling	"1999 Harrison Street, 7th Floor"	Oakland	CA	94612	(510) 287-4068	(510) 287-4069	189846	BLK	ericka@curlsbartling.com
LAW OFFICES OF ALEXIS S M CHIU	ATTORNEYS                          	LAWYERS                       		Alexis S. M. Chiu	"580 California Street, 16th Floor"	San Francisco                 	CA	94104	(415) 563-3890	(415) 563-3885	0	A/P	achiu@chiulaw.com
LAW OFFICES OF JANE KOW            	ATTORNEYS                          	LAWYERS                       	"JANE KOW, ESQ. LAW OFFICES         "	Jane  Kow	"750 Van Ness Ave, Ste. 1204"	San Francisco	CA	94102	(415) 567-0367	(415) 441-0366	171062	A/P	janekow@msn.com
ROSALES LAW PARTNERS LLP	ATTORNEYS                          	LAWYERS                       		Mara E. Rosales	"220 Montgomery Street, Suite 2100"	San Francisco	CA	94104	(415) 986-4760	(415) 362-2006	104844	LAT	mara@rosaleslawpartners.com
WANG & WANG                        	ATTORNEYS                          	LAWYERS                       	                                   	Contact  Person	180 Montgomery Street         	San Francisco                 	CA	94104	(415) 788-8008	(0  )    -    	0	A/P	
"NICA DMT, INC."	BLDG MOVING/DEMOLITION (C-21)      		dba NICA DEMOLITION	Harold  Mendoza	101 North Greenville Road	Livermore	CA	94551	(925) 443-6422	(925) 940-9599	768631	LAT	hmendoza@nicametals.com
"OLIVER TRANSBAY CONSTRUCTION, INC."	BLDG MOVING/DEMOLITION (C-21)      			Frank L. Oliver	"1485 Bayshore Blvd., #324-B77"	San Francisco	CA	94124	(415) 330-0904	(415) 330-0934	733591	BLK	flotbc@msn.com
SOS DEMO CLEANUP SERVICES	BLDG MOVING/DEMOLITION (C-21)      			Douglas N. Beecher	224 Tanglewood Drive	Richmond	CA	94806	(510) 478-3943	(510) 223-0195	740954	BLK	douglas.beecher@sosdemocleanup.com
THE MITCHELL GROUP COPY SERVICE	"BLUEPRINTING, DUPLICATING, PHOTOCOP"			Jim  Mitchell	"501 Cesar Chavez, Ste. 116"	San Francisco                 	CA	94124	(415) 648-7894	(415) 648-7874	0	BLK	tj@tmg-inc.com
YES V CAN	"BLUEPRINTING, DUPLICATING, PHOTOCOP"			Milindha  Morahela	"45 Williams Avenue,Suite B"	San Francisco	CA	94124	(415) 671-3804	(415) 671-3804	0		mili@yesvcan.net
OKEEFFE MECHANICAL CO INC	"BOILER, STEAMFITTING (C-4)         "		                                   	Moon  Jee	"2715 Ingalls Street, Suite A  "	San Francisco                 	CA	94124	(415) 822-2000	(415) 822-4770	687041	A/P	okeeffemech@sbcglobal.net
YUMS MECHANICAL CO INC	"BOILER, STEAMFITTING (C-4)         "		                                   	Park  Jung	1649 Jerrold Avenue           	San Francisco                 	CA	94124-2134	(415) 642-1818	(415) 642-1840	583839	A/P	parkjung@sbcglobal.net
SCL INTERNATIONAL	"BRICK, STONE, AGGREGATE, CEMENT,   "	"CERAMIC TILE, PLASTER, STUCCO "	DBA CALIFORNIA ARCHITECTURAL PRODUCTS	Crandall  Lee	2095 Jerrold Avenue #215	San Francisco	CA	94124	(415) 821-1900	(415) 821-1900	0	A/P	capintl@pacbell.net
"AE3 PARTNERS, INC."	"BROKERS, REAL ESTATE               "	MULTIPLE LISTING SERVICES     		Douglas A. Davis	"11 Embarcadero West, Suite 205"	Oakland	CA	94607	(510) 538-9991	(510) 327-0312	C28047	BLK	dougd@ae3partners.com
DWS/BVHP REAL ESTATE SERVICES LLC	"BROKERS, REAL ESTATE               "	MULTIPLE LISTING SERVICES     		Diane Wesley Smith	4636 Third Street	San Francisco	CA	94124	(415) 342-5970	(415) 647-1542	1387516	BLK	bvhprealtors@comcast.net
NORTHBRIDGE GROUP INC	"BROKERS, REAL ESTATE               "	MULTIPLE LISTING SERVICES     	                                   	John L. Guillory	6352 Ridgemont Drive	Oakland	CA	94619	(510) 531-7388	(510) 531-5874	RE 01147638	BLK	jguillory@concordisrealestate.com
SCL INTERNATIONAL	"BUILDERS HARDWARE, BOLTS, NUTS     "	"SCREWS, HANDTOOLS, LOCKS      "	DBA CALIFORNIA ARCHITECTURAL PRODUCTS	Crandall  Lee	2095 Jerrold Avenue #215	San Francisco	CA	94124	(415) 821-1900	(415) 821-1900	0	A/P	capintl@pacbell.net
AIM TO PLEASE JANITORIAL           	BUILDING CLEANING & MAINTENANCE    		                                   	Chris  Washington	P.O. Box 24550	San Francisco                 	CA	94124	(415) 826-0540	(415) 333-4083	0	BLK	cw@atpjanitorial.com
B & C JANITORIAL SERV. INC	BUILDING CLEANING & MAINTENANCE    		                                   	Cheryl A. Garcia	P O Box 5565                  	Hercules                      	CA	94547	(510) 741-8903	(510) 741-8917	0	A/P	bandcjanitorial@msn.com
C M S C	BUILDING CLEANING & MAINTENANCE    		COSTLESS MAINTENANCE SERVICES CO   	Norma  Edar	3254 19th Street	San Francisco                 	CA	94110	(415) 550-8819	(415) 550-8831	0	A/P	norma@costlessmaintenance.com
CONSOLIDATED CLEANING SERVICES     	BUILDING CLEANING & MAINTENANCE    		                                   	Kurt  Grannis	2515 Willow Street	Oakland                       	CA	94607	(510) 663-2585	(650) 992-4455	778783	BLK	joann@consolidated-cleaning.com
M & M JANITORIAL	BUILDING CLEANING & MAINTENANCE    			Maria E. Guerra	296 Rio Verde Street	Daly City	CA	94014	(415) 468-2343		0	LAT	MandMmjchrismaria7@aol.com
M AND M JANITORIAL	BUILDING CLEANING & MAINTENANCE    			Maria Elena Guerra Coto	296 Rio Verde Street	Daly City	CA	94014	(415) 656-0604		0	LAT	mandmjanitorial@aol.com
RAINBOW BAY AREA ENTERPRISES       	BUILDING CLEANING & MAINTENANCE    		                                   	Henry C. Holland	2835 Beard Terrace	Fremont	CA	94555	(510) 791-0644	(510) 791-0655	765106	BLK	enterprisesrainb@aol.com
"SRS SAFETY SERVICES, INC."	BUILDING CLEANING & MAINTENANCE    			Rick  Scott	220 Wright Brothers Way Ste.B	Livermore	CA	94551	(925) 245-1072	(925) 243-0016	0	BLK	Rick@srs-opos.com
THE DARIO COMPANY	BUILDING CLEANING & MAINTENANCE    			Paul  De Haro	305 Vineyard Town Center #131	Morgan Hill	CA	95037	(408) 890-0921	(866) 210-7744	0	LAT	paul@darioco.com
WEST COAST MAINTENANCE SERVICE     	BUILDING CLEANING & MAINTENANCE    		                                   	Robert L. Wade	26 Flora Street # A	San Francisco                 	CA	94124	(415) 822-4411	(415) 822-1356	0	BLK	wcmsrw@aol.com
YOUR ALL DAY EVERYDAY JANITORIAL SERVICE	BUILDING CLEANING & MAINTENANCE    			Jijer  Mabrey	1521 Revere Avenue	San Francisco	CA	94124	(415) 613-4126		0	BLK	jamarmabrey@gmail.com
SEKOU COOKE STUDIO	BUILDING DESIGN                    			Sekou G. Cooke	"333 Bryant Street, Suite 220"	San Francisco	CA	94103	(415) 348-6260	(415) 541-8590	0	BLK	sekou@sekoucooke.com
"DLD LUMBER, INC."	BUILDING MATERIAL                  			Dana L. Dominguez	1755 Egbert Avenue            	San Francisco                 	CA	94124	(415) 467-6832	(415) 467-6937	B 783763	LAT	dana@dldlumber.com
GENERAL SUPPLY COMPANY             	BUILDING MATERIAL                  		                                   	Jeff  Simpson	971-87th Avenue	Oakland	CA	94621	(510) 632-5229	(510) 632-2315	0	BLK	generalsupply@sbcglobal.net
L. LUSTER & ASSOCIATES	BUSINESS ASSOCIATIONS              			Laura  Luster	3390 Victor Avenue	Oakland	CA	94602	(510) 282-7769	(510) 336-4101	0	BLK	laura@llusterassociates.com
D'S CUSTOM CABINETS	CABINET AND MILLWORK (C-6)         		                                   	David  Hom	145 Putnam Street             	San Francisco                 	CA	94110	(415) 516-5894	(415) 824-1192	555144	A/P	dscustomcabinets@gmail.com
FERNANDEZ BROTHERS CUSTOM CABINETS	CABINET AND MILLWORK (C-6)         			Rich  Fernandez	972 Chestnut St.	San Jose	CA	95110	(408) 442-7940	(408) 975-7250	847358	LAT	Fernandezbrothers@comcast.net
RUBECON GENERAL CONTRACTING INC    	CABINET AND MILLWORK (C-6)         		                                   	Ruben A. Santana	"3450 Third Street, Bldg. 1B   "	San Francisco                 	CA	94124	(415) 206-7740	(415) 206-1750	734031	LAT	office@rubecon.com
BLOCK ENERGY DESIGN	CAD DRAFTING SERVICES              	COMPUTER-AIDED DESIGN SYTEMS  	                                   	Sharon  Block	"150 Felker Street, Suite H"	Santa Cruz                    	CA	95060	(831) 454-9956	(831) 454-0598	0	A/P	sharon@blockenergygreen.com
RISER CONSTRUCTION CO.             	CARPENTRY (C-5)                    		                                   	Lea  McMillan	PO Box 269	Hayward	CA	94543-0269	(510) 733-3284	(510) 733-3284	730570	BLK	gguske@riserinc.net
RUBECON GENERAL CONTRACTING INC    	CARPENTRY (C-5)                    		                                   	Ruben A. Santana	"3450 Third Street, Bldg. 1B   "	San Francisco                 	CA	94124	(415) 206-7740	(415) 206-1750	734031	LAT	office@rubecon.com
"CARPET DIMENSION, INC."	CARPET & RESILIENT FLR (C-15)      		                                   	George C. Aguillon	1870 Arnold Industrial Place  #1040	Concord                       	CA	94520	(925) 686-5544	(925) 686-5595	803671	FIL	cptdim@sbcglobal.net
JOE WANG CARPET AND FLOORING       	CARPET & RESILIENT FLR (C-15)      		                                   	Joe  Wang	116-A Starlite Street	South San Francisco	CA	94080	(650) 636-1508	(650) 636-1511	651496	A/P	info@jwcarpet.com
LAID RITE FLOOR COVERINGS          	CARPET & RESILIENT FLR (C-15)      		                                   	Dorothy Williams  Fox	1063 23rd Street              	Richmond                      	CA	94804	(510) 215-2108	(510) 215-6141	0	BLK	glen.fox@sbcglobal.net
"MCC FLOORING CONTRACTORS, INC."	CARPET & RESILIENT FLR (C-15)      			"Raoul W. Fulcher, Sr."	1785 Timothy Drive Unit #1	San Leandro	CA	94577	(510) 632-7770	(510) 632-7894	318410	BLK	rwfulcher@sbcglobal.net
CRUMBS UNLIMITED	"CATERERS, RESTAURATEURS            "			H. H. Paulette Simms	1700 Sloat Blvd.	San Francisco	CA	94132-0513	(415) 699-1648	(415) 682-8040	0		crumbsunlimited@sbcglobal.net
HWANG & WANG CPA	CERTIFIED PUBLIC ACCOUNTANTS       		                                   	Contact  Person	180 Montgomery St	San Francisco                 	CA	94111	(415) 421-4343	(0  )    -    	0	A/P	
"IZABAL, BERNACIAK & CO CPAS"	CERTIFIED PUBLIC ACCOUNTANTS       			Robert  Izabal	"One Market Plaza, Suite 344   "	San Francisco                 	CA	94105	(415) 896-5551	(415) 896-0584	0	FIL	rizabal@ibcpas.com
"JAMES P RICHARDSON CPA, INC."	CERTIFIED PUBLIC ACCOUNTANTS       			James P. Richardson	312 9th Street	Richmond	CA	94801	(510) 234-8983	(510) 234-9005	COR 5988	BLK	james@jprcpa.net
"LOUIE CPA, CALVIN                  "	CERTIFIED PUBLIC ACCOUNTANTS       		"  Y. Louie, CPA"	Calvin  Louie	"838 Grant Avenue, Suite 402-"	San Francisco                 	CA	94108	(415) 397-6411	(415) 397-6617	0	A/P	cylouiecpa@aol.com
PATEL & ASSOCIATES	CERTIFIED PUBLIC ACCOUNTANTS       			Ramesh  Patel	"266 17th St., Ste. 200"	Oakland                       	CA	94612	(510) 452-5051	(510) 452-3432	CPA 34969	EIN	rpatel@patelcpa.com
WILLIAMS ADLEY & CO. LLP	CERTIFIED PUBLIC ACCOUNTANTS       		                                   	Robert H. Griffin	"1330 Broadway, Suite 1825"	Oakland	CA	94612	(415) 656-1330	(415) 467-6106	0	BLK	rgriffin@wacllp.com
"WONG CPA, RICHARD W                "	CERTIFIED PUBLIC ACCOUNTANTS       		                                   	Richard W Wong	736 Sacramento Street	San Francisco                 	CA	94108	(415) 781-1040	(0  )    -    	0	A/P	
"AEW ENGINEERING, INC."	CIVIL ENGINEER                     		                                   	Kenneth  Leung	"55 New Montgomery Street,.Suite 722"	San Francisco                 	CA	94105	(415) 495-8400	(415) 358-5598	C 47529	A/P	kleung@aewengineering.com
AGS INC	CIVIL ENGINEER                     		                                   	Dennis C. Wong	"111 New Montgomery St, Ste 500"	San Francisco                 	CA	94105	(415) 777-2166	(415) 777-4874	C 70513	A/P	twong@agsinc.com
"BELLO & ASSOCIATES, STRUCTURAL ENG"	CIVIL ENGINEER                     		FKA BELLO VENNARI	Marguerite  Bello	"351 California Street, Suite 420"	San Francisco                 	CA	94104	(415) 908-0555	(877) 384-9017	C 36137        	A/P	mbello@mabse.com
"CHEW GEOTECHNICAL INC, ROBERT Y    "	CIVIL ENGINEER                     		                                   	Robert Yok  Chiang Chew	"55 New Montgomery Street, #525"	San Francisco                 	CA	94105	(415) 512-1881	(415) 512-1886	C 4460         	A/P	
DOMINIC CHU CONSULTING	CIVIL ENGINEER                     		DOMINIC CHU	Dominic  Chu	"3724 South El Camino Real, 2/F"	San Mateo                     	CA	94403	(650) 578-9899	(650) 578-0240	SE 2360        	A/P	dc-engr@pacbell.net
F E JORDAN ASSOCIATES INC	CIVIL ENGINEER                     			Frederick E Jordan	"11 Embarcadero West, Suite 210"	Oakland	CA	94607	(510) 763-2400	(510) 399-0244	C17468	BLK	fejoak@fejordan.com
FREYER AND LAURETA INC             	CIVIL ENGINEER                     		                                   	David C Freyer	144 North San Mateo Drive	San Mateo                     	CA	94401	(650) 344-9901	(650) 344-9920	C 55783		freyer@freyerlaureta.com
GEOTECHNICAL CONSULTANTS INC	CIVIL ENGINEER                     		                                   	"G. ""Neel"" Neelakantan"	"500 Sansome Street, Suite 402"	San Francisco                 	CA	94111	(415) 981-9950	(415) 981-9951	GE 2391	EIN	neelegtcgeotech.com
INGRAHAM DE JESSE ASSOCIATES INC	CIVIL ENGINEER                     		                                   	Nellie  Ingraham	1629 Telegraph Ave. Suite 300	Oakland	CA	94612	(510) 834-1629	(510) 836-1629	C 26242        	A/P	ningraham@ida-se.com
Ish Jhamb & Associates	CIVIL ENGINEER                     			Ish  Jhamb	2200 Bridgeway Boulevard	Sausalito	CA	94966-5904	(415) 332-2540	(415) 332-5370	0		
LEE INCORPORATED	CIVIL ENGINEER                     			Ellen  Lee	"166 Geary Street, Suite 402"	San Francisco	CA	94108	(415) 421-2758	(415) 421-6762	C20864	A/P	el@leei.com
"M2 CONSULTANTS, INC."	CIVIL ENGINEER                     			Yogesh  Prashar	4957 Piper Glen Terrace	Dublin	CA	94568	(925) 570-5731	(925) 875-1044	GE 2591	A/P	yprashar@m2consultantsinc.com
OAKLEY & OAKLEY	CIVIL ENGINEER                     			Gary  Oakley	"7700 Edgewater Drive, Ste. 615"	Oakland	CA	94621	(510) 562-6028	(510) 562-6043	C35112	BLK	gary-oakley@oakley2.com
OLMM CONSULTING ENGINEERS	CIVIL ENGINEER                     		OLMM STRUCTURAL DESIGN	Sunil  Gupta	"833 Market Street, Suite 316"	San Francisco	CA	94103	(415) 882-9449	(415) 247-8088	S 2948	EIN	sunil@olmm.com
P S C ASSOCIATES INC               	CIVIL ENGINEER                     		                                   	Peter Shun-Wing  Chan	1485 Bayshore Blvd. #104	San Francisco	CA	94124	(415) 330-6100	(415) 330-6363	5890	A/P	pscsfca@aol.com
RIVERA CONSULTING GROUP INC	CIVIL ENGINEER                     			Edward Rivera  S.E.	"201 Mission Street, Suite 280"	San Francisco	CA	94105	(415) 975-5500	(415) 357-9806	C 28205	LAT	ed@riveraconsulting.com
STRUCTURAL DESIGN ENGINEERS        	CIVIL ENGINEER                     		S D E                              	Rajendra  Sahai	"100 Montgomery Street, #1410"	San Francisco                 	CA	94104	(415) 781-1505	(415) 781-2718	 S 2091        	EIN	Rsahai@sdesf.com
STRUCTURAL SOLUTIONS INC	CIVIL ENGINEER                     			Gary L. Mochizuki	"150 N. Wiget Lane, Suite 102"	Walnut Creek	CA	94598	(925) 938-3303	(925) 938-3522	S 3164	A/P	gary@structsol.com
"STRUCTUS, INC."	CIVIL ENGINEER                     		                                   	Fu-Lien (Henry)  Chang	351 California St. Suite 450	San Francisco                 	CA	94104	(415) 399-1710	(415) 399-8966	27757 C        	A/P	henry@structusinc.com
TELAMON ENGINEERING CONSULTANT     	CIVIL ENGINEER                     		                                   	Mennor  Chan	"855 Folsom Street, Unit 142"	San Francisco                 	CA	94107	(415) 837-1336	(415) 837-1354	C 43842	A/P	dmanansala@telamoninc.com
