ClubID	Club	Address	CrossStreets	Phone	Hours
25	Ketama Collective	14 Valencia Street	at Market Street	415.706.2679	11am-8pm M-Sat 12pm-6pm Sun 
26	The Kind Sanctuary (inside Golden Triangle)	1334 Haight Street	btwn Masonic/Central	415.431.6764	10:30am-9pm M-Sat 12pm-8pm Sun 
28	Love Shack	502 14 th Street 	at Guerrero Street	415.552.5121 www.lssf.com	10am-7pm M-Sat 10am-5pm Sun 
29	Mason Street Dispensary	124 Mason Street	btwn Eddy & Ellis St	415.433.4420 masonstreet@gmail.com www.masondispensary.com	9am-9pm Sun-Sat 
31	Medical Cannabis Center (MCC)	722 Columbus Street	nr Filbert Street	415.296.7614	11am-6pm M-Sat 11am-5pm Sun 
32	Mendocino Healing Alternatives (MendoHealing)	96 Lafayette Street	off Howard, between 10 th & 11th Streets	415.864.4600 415.864.4654/FAX	11am-7pm Sun-Sat
33	Mission Street Caregivers (Open 365 Days/Year)	1760 Mission Street	nr Duboce Avenue	415.553.7780	8am-8pm Sun-Sat 
34	Mr. Nice Guy Medical Cannabis Dispensary	178 Valencia Street	nr Duboce Avenue		8am-8pm Sun-Sat 
35	Patient and Caregivers Collective	1935 Mission Street	nr Duboce Avenue	415.701.9537	4pm-7pm M-Sat 
36	Patient and Caregivers Services of San Francisco	644 Hyde Street	btwn Geary & Post St	415.292.9091	
37	Patients Helping Patients Home Delivery Service		by bicycle	415.240.7190	3pm - 9pm Sun-Sat 
38	Patient Place (formerly The Hemp Center)	4811 Geary Blvd	at 12 th Ave, nr Funston	415.386.HEMP 415.386.4367	11am-5pm M-F 12pm-5pm Sat Closed Sun 
39	Purple Heart	1345 Grove Street	nr Divisadero Street	415.441.4244	12pm-10pm Sun-Sat 
40	Rainbow Organic Medicine Collective Home Delivery Service			415.661.9911 420meds@myway.com	11am-7pm Tue-Sat 
41	Re-Leaf Herbal Center	2980 21 st Street	nr Folsom Street	415.235.3307	1pm-8pm M-Sat 
42	San Francisco ACT-UP	1884 Market Street	nr Octavia Street	415.864.6686 www.actupsf.com	12pm-7pm Tue-Sun 
43	San Francisco City Patient Caregiver Collective	1095 Market St, #515	nr 7 th Street	415.724.3476 pcssf@yahoo.com	11am-5pm F-Sat www.sfprc.org 
44	San Francisco Patients' Cooperative	350 Divisadero Street	at Oak Street	415.552.8653 415.552.8648/FAX sfpatients@aol.com	11am-5:30pm Sat-Mon 11pm-7:30pm Tue-Fri
45	Sanctuary	669 O'Farrell Street	nr Hyde Street	415.885.4420	2pm-8pm Sun-Sat 
47	The Vapor Room (Herbal Center	609A Haight Street	at Steiner Street	415.436.9063	10:30am-8:30pm M-F 12pm-8pm Sat, Sun www.vaporroom.com 
